2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(1011) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(1) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(9111) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(179) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(5550) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(43) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(5822) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(10243) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(38292) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(8011) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40406) -> dmz/10.30.30.20(113) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40406) -> dmz/10.30.30.20(995) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40406) -> dmz/10.30.30.20(110) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40406) -> dmz/10.30.30.20(587) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40406) -> dmz/10.30.30.20(443) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40406) -> dmz/10.30.30.20(143) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40406) -> dmz/10.30.30.20(25) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40406) -> dmz/10.30.30.20(1720) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40406) -> dmz/10.30.30.20(993) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40406) -> dmz/10.30.30.20(8701) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40406) -> dmz/10.30.30.20(1723) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40406) -> dmz/10.30.30.20(80) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40406) -> dmz/10.30.30.20(3389) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40406) -> dmz/10.30.30.20(53) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40406) -> dmz/10.30.30.20(21) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40406) -> dmz/10.30.30.20(3306) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40406) -> dmz/10.30.30.20(8888) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40406) -> dmz/10.30.30.20(5900) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40406) -> dmz/10.30.30.20(8011) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40406) -> dmz/10.30.30.20(38292) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40406) -> dmz/10.30.30.20(10243) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40406) -> dmz/10.30.30.20(5822) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40406) -> dmz/10.30.30.20(43) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40406) -> dmz/10.30.30.20(5550) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40406) -> dmz/10.30.30.20(179) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40406) -> dmz/10.30.30.20(9111) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40406) -> dmz/10.30.30.20(1) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40406) -> dmz/10.30.30.20(1011) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40406) -> dmz/10.30.30.20(2869) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40406) -> dmz/10.30.30.20(999) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40406) -> dmz/10.30.30.20(18040) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(26214) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(3828) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(44442) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(5901) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(5225) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(6100) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(125) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(44176) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(4899) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(749) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(1038) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(1081) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(1174) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(2008) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(6669) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(1310) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(49999) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(1277) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(10617) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(1311) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(3826) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(2005) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(497) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(1187) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(1042) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(5101) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(9091) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(119) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(1718) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(50006) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40405) -> dmz/10.30.30.20(5033) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40406) -> dmz/10.30.30.20(44176) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40406) -> dmz/10.30.30.20(125) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40406) -> dmz/10.30.30.20(6100) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40406) -> dmz/10.30.30.20(5225) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40406) -> dmz/10.30.30.20(5901) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
2011-04-26T18:55:44-06:00 ant-fw : %ASA-2-106100: access-list outside denied tcp outside/172.30.1.77(40406) -> dmz/10.30.30.20(44442) hit-cnt 1 first hit [0xfd0ffa4a, 0x0]
